Hospital_Name (clean),Hospital Name rev 2,Country
EKA HOSPITAL BSD - INDONESIA - FISIOTERAPIST,EKA HOSPITAL BSD,Indonesia
"EKA HOSPITAL BSD - INDONESIA - DR RUDY, SPPD",EKA HOSPITAL BSD,Indonesia
EKA HOSPITAL BSD - INDONESIA - FIDIOTERAPIST,EKA HOSPITAL BSD,Indonesia
"EKA HOSPITAL BSD - INDONESIA - SUWENDI, DR.",EKA HOSPITAL BSD,Indonesia
"EKA HOSPITAL BSD - INDONESIA - RICKY, SpOT K",EKA HOSPITAL BSD,Indonesia
"RS. PREMIER JATINEGARA - INDONESIA - WAWAN,",RS PREMIER JATINEGARA,Indonesia
"RSIA. FAMILY - INDONESIA - SAMILLA,SPA",RSIA FAMILY,Indonesia
"RS. AWAL BROS BATAM - INDONESIA - DR ABDUL,",RS AWAL BROS BATAM,Indonesia
"EKA HOSPITAL BSD - INDONESIA - M WAHYUDI, Sp",EKA HOSPITAL BSD,Indonesia
"EKA HOSPITAL BSD - INDONESIA - FANNY, SpKFR",EKA HOSPITAL BSD,Indonesia
RSIA. FAMILY - INDONESIA - DR DASMAN,RSIA FAMILY,Indonesia
"EKA HOSPITAL BSD - INDONESIA - PANJI TANU, S",EKA HOSPITAL BSD,Indonesia
"EKA HOSPITAL BSD - INDONESIA - LUTHFI, SpOT",EKA HOSPITAL BSD,Indonesia
"EKA HOSPITAL BSD - INDONESIA - HJ PENNY, SpK",EKA HOSPITAL BSD,Indonesia
"EKA HOSPITAL BSD - INDONESIA - ERICK, SpOT",EKA HOSPITAL BSD,Indonesia
"RS. MEDISTRA - INDONESIA - zuljasri, dr. sP.",RS MEDISTRA,Indonesia
RS. MEDISTRA - INDONESIA - DR SURYA,RS MEDISTRA,Indonesia
"RS. MEDISTRA - INDONESIA - DR NADIA AYU M,Sp",RS MEDISTRA,Indonesia
RS. MEDISTRA - INDONESIA - DR ARU,RS MEDISTRA,Indonesia
RS. MEDISTRA - INDONESIA - DR MITRA,RS MEDISTRA,Indonesia
RS. MEDISTRA - INDONESIA - DR AMILA,RS MEDISTRA,Indonesia
RS. MEDISTRA - INDONESIA - DR SUTRYA,RS MEDISTRA,Indonesia
Mahkota Medical Centre - INDONESIA - DR CHOW,MAHKOTA MEDICAL CENTRE SDN BHD MALAYSIA,Malaysia
RSIA. KEMANG MEDICAL CARE - INDONESIA - DR.,KEMANG MEDICAL CARE,Indonesia
Island Hospital - INDONESIA - DR LEM LI KHEM,ISLAND HOSPITAL MALAYSIA,Malaysia
"ICON CANCER CENTRE
 - INDONESIA - DR KARMEN",ICON CANCER CENTRE SINGAPORE,Singapore
RS. MEDISTRA - INDONESIA - DR MAHISA,RS MEDISTRA,Indonesia
RS. MEDISTRA - INDONESIA - DR FIRDAUS,RS MEDISTRA,Indonesia
RS. MEDISTRA - INDONESIA - DR NADIUA,RS MEDISTRA,Indonesia
RS. MEDISTRA - INDONESIA - DR MANUFALUTHY,RS MEDISTRA,Indonesia
"RS. MEDISTRA - INDONESIA - NADIA, DR. Sp.PD",RS MEDISTRA,Indonesia
RS. MEDISTRA - INDONESIA - DR ZULJASARI,RS MEDISTRA,Indonesia
RS. MEDISTRA - INDONESIA - DR SURYTA,RS MEDISTRA,Indonesia
SILOAM HOSPITALS BALI - INDONESIA - DR CONCH,SILOAM HOSPITAL BALI,Indonesia
RS. MITRA KELUARGA KENJERAN - INDONESIA - IM,MITRA KELUARGA KENJERAN,Indonesia
"RSIA. LIMIJATI - INDONESIA - AHMEDZ, DR. Sp.",RS LIMIJATI,Indonesia
RS. RESTU IBU BALIKPAPAN - INDONESIA - DR YU,RS RESTU IBU BALIKPAPAN,Indonesia
RS. MATA DR.YAP - INDONESIA - DR MUFIDA,RS MATA DR YAP YOGYAKARTA,Indonesia
"RS. PREMIER JATINEGARA - INDONESIA - NOUVAL,",RS PREMIER JATINEGARA,Indonesia
"RSIA. LIMIJATI - INDONESIA - FRECILLIA, DR.",RS LIMIJATI,Indonesia
"RSIA. LIMIJATI - INDONESIA - DR CHRISTINE, S",RS LIMIJATI,Indonesia
RS. PURI CINERE - INDONESIA - DR. MUSLICH AY,RS PURI CINERE,Indonesia
RS. JIH (JOGJA) - INDONESIA - DR WINDA,JOGJA INTERNATIONAL HOSPITAL,Indonesia
"RS. GRHA KEDOYA - INDONESIA - SALIM LIM, SpP",RS GRHA KEDOYA,Indonesia
SILOAM SRIWIJAYA PALEMBANG - INDONESIA - DR.,SILOAM HOSPITAL SRIWIJAYA,Indonesia
Island Hospital - INDONESIA - DR. ROBERT DIN,ISLAND HOSPITAL MALAYSIA,Malaysia
PERSADA HOSPITAL - INDONESIA - dr saifur,PERSADA HOSPITAL,Indonesia
RSU. KASIH IBU DENPASAR - INDONESIA - DR. I.,RS KASIH IBU DENPASAR,Indonesia
RS. SATYA NEGARA - INDONESIA - DR TAUFAN BUD,RS SATYA NEGARA,Indonesia
RS. EMC ALAM SUTERA - INDONESIA - dr ferdy l,RS EMC ALAM SUTERA,Indonesia
SILOAM HOSPITALS JEMBER - INDONESIA - DR. DE,SILOAM HOSPITAL JEMBER,Indonesia
BEACON HOSPITAL - INDONESIA - DATO DR MOHAME,BEACON HOSPITAL MALAYSIA,Malaysia
"RS. EMC ALAM SUTERA - INDONESIA - FERDY, DR.",RS EMC ALAM SUTERA,Indonesia
RS. COLUMBIA ASIA PULOMAS - INDONESIA - FFT,COLUMBIA ASIA PULOMAS,Indonesia
RS. WILLIAM BOOTH SURABAYA - INDONESIA - DR,RS WILLIAM BOOTH SURABAYA,Indonesia
RS. GRHA KEDOYA - INDONESIA - dr vilmadewi s,RS GRHA KEDOYA,Indonesia
RS. MEILIA - INDONESIA - DR HARDAMNI,RS MEILIA,Indonesia
RS. YOS SUDARSO - INDONESIA - ALEX SPPD,RS YOS SUDARSO,Indonesia
RS. MEDISTRA - INDONESIA - ARU DR SPPD,RS MEDISTRA,Indonesia
RS. PREMIER JATINEGARA - INDONESIA - DR EVEL,RS PREMIER JATINEGARA,Indonesia
RS. INDRIATI SOLO - INDONESIA - DR AMIR SPOT,RS INDRIATI,Indonesia
RS. PANTI WALUYA SAWAHAN - INDONESIA - DR SP,RS PANTI WALUYA SAWAHAN,Indonesia
RS. PREMIER SURABAYA - INDONESIA - dr Krtut,RS PREMIER SURABAYA,Indonesia
"RS. MALEO SORONG - INDONESIA - ADRINA, DR.S",RS MALEO PAPUA,Indonesia
"RS. MATA DR.YAP - INDONESIA - MUFIDA, DR. Sp",RS MATA DR YAP YOGYAKARTA,Indonesia
RS. IMMANUEL WAY HALIM - INDONESIA - dr. FAJ,RS IMMANUEL WAY HALIM,Indonesia
"SILOAM HOSPITALS BALI - INDONESIA - I GEDE,",SILOAM HOSPITAL BALI,Indonesia
Gleneagles Medical Centre - INDONESIA - Dr I,GLENEAGLES HOSPITAL,Singapore
RS. MITRA KELUARGA PAMULANG - INDONESIA - RA,MITRA KELUARGA PAMULANG,Indonesia
BETHSAIDA HOSPITAL - INDONESIA - DR RAFIDA I,BETHSAIDA HOSPITAL,Indonesia
FARRER PARK HOSPITAL - INDONESIA - LEE KHAI,FARRER PARK HOSPITAL,Singapore
RS. PREMIER SURABAYA - INDONESIA - DR LILIK,RS PREMIER SURABAYA,Indonesia
RS. SANTA MARIA PEKANBARU - INDONESIA - RAMA,RS SANTA MARIA PEKANBARU,Indonesia
RS. PANTI WALUYA SAWAHAN - INDONESIA - HENDR,RS PANTI WALUYA SAWAHAN,Indonesia
RS. ADI HUSADA UNDAAN WETAN - INDONESIA - PE,RS ADI HUSADA UNDAAN WETAN,Indonesia
RS. IMMANUEL WAY HALIM - INDONESIA - DR RUTH,RS IMMANUEL WAY HALIM,Indonesia
MAYAPADA HOSPITAL BANDUNG - INDONESIA - nenn,MAYAPADA HOSPITAL BANDUNG,Indonesia
PERSADA HOSPITAL - INDONESIA - DJONI SPPD,PERSADA HOSPITAL,Indonesia
"BETHSAIDA HOSPITAL - INDONESIA - DIPPO,SPPD",BETHSAIDA HOSPITAL,Indonesia
RS. IMMANUEL WAY HALIM - INDONESIA - DR. HAR,RS IMMANUEL WAY HALIM,Indonesia
RS. UTAMA TANJUNG PANDAN - INDONESIA - AHMAD,RS UTAMA TANJUNG PANDAN,Indonesia
Mahkota Medical Centre - INDONESIA - DR. ANG,MAHKOTA MEDICAL CENTRE SDN BHD MALAYSIA,Malaysia
"RS. PERMATA CIBUBUR - INDONESIA - ARIF,SPA",RS PERMATA CIBUBUR,Indonesia
BETHSAIDA HOSPITAL - INDONESIA - DR. ALEXAND,BETHSAIDA HOSPITAL,Indonesia
RS. GADING PLUIT - INDONESIA - DR. WIDYAWATI,RS GADING PLUIT,Indonesia
RS. EMC SENTUL - INDONESIA - DR. AMY DIANA R,RS EMC SENTUL,Indonesia
SILOAM HOSPITALS MAKASSAR - INDONESIA - ADRI,SILOAM HOSPITAL MAKASSAR,Indonesia
FARRER PARK HOSPITAL - INDONESIA - DR CHONG,FARRER PARK HOSPITAL,Singapore
"RS. PERMATA CIBUBUR - INDONESIA - LUCIA,SPA",RS PERMATA CIBUBUR,Indonesia
RS. PONDOK INDAH - INDONESIA - DR. DWI SP.A,RS PONDOK INDAH,Indonesia
MAYAPADA HOSPITAL BANDUNG - INDONESIA - MARI,MAYAPADA HOSPITAL BANDUNG,Indonesia
RS. IMMANUEL WAY HALIM - INDONESIA - DR. IND,RS IMMANUEL WAY HALIM,Indonesia
KELUARGA SEHAT HOSPITAL - INDONESIA - budi s,KELUARGA SEHAT HOSPITAL,Indonesia
RS. PONDOK INDAH - INDONESIA - TAUFIG SPPD,RS PONDOK INDAH,Indonesia
SILOAM SRIWIJAYA PALEMBANG - INDONESIA - RON,SILOAM HOSPITAL SRIWIJAYA,Indonesia
RS. TELOGOREJO - INDONESIA - DR NENI SPPD,RS TELOGOREJO,Indonesia
RS. GADING PLUIT - INDONESIA - DR. RAHMAT ZA,RS GADING PLUIT,Indonesia
RS. PANTI NIRMALA - INDONESIA - DR TRI SP A,RS PANTI NIRMALA,Indonesia
"RSIA. LIMIJATI - INDONESIA - RADIAH, DR. Sp.",RS LIMIJATI,Indonesia
RS. AWAL BROS PEKANBARU - INDONESIA - DR M I,RS AWAL BROS PEKANBARU,Indonesia
KELUARGA SEHAT HOSPITAL - INDONESIA - BUDI R,KELUARGA SEHAT HOSPITAL,Indonesia
RSIA. KEMANG MEDICAL CARE - INDONESIA - dr H,KEMANG MEDICAL CARE,Indonesia
"RS. TELOGOREJO - INDONESIA - BAMBANG, DR. Sp",RS TELOGOREJO,Indonesia
RS. IMMANUEL BANDUNG - INDONESIA - OKI SPS,RS IMMANUEL BANDUNG,Indonesia
RS. PANTI NIRMALA - INDONESIA - dr Trya Dyah,RS PANTI NIRMALA,Indonesia
RS. HERMINA MEKARSARI - INDONESIA - RENI SPA,RS HERMINA MEKARSARI,Indonesia
RS. EMC SENTUL - INDONESIA - DR. MESSIA PARA,RS EMC SENTUL,Indonesia
"RS. TELOGOREJO - INDONESIA - YOVITA, DR. Sp.",RS TELOGOREJO,Indonesia
RS. HERMINA KENDARI - INDONESIA - AULIA SPA,RS HERMINA KENDARI,Indonesia
RS. IMMANUEL BANDUNG - INDONESIA - SUSANA SP,RS IMMANUEL BANDUNG,Indonesia
"CIPUTRA MITRA HOSPITAL - INDONESIA - ADI, DR",CIPUTRA MITRA HOSPITAL,Indonesia
"RS. BUNDA MARGONDA - INDONESIA - FARABIE, DR",RS BUNDA MARGONDA,Indonesia
RSIA. PURI MALANG - INDONESIA - DR. LOUISA T,RSIA PURI MALANG,Indonesia
RS. HUSADA - INDONESIA - BAMBANG DR,RS HUSADA,Indonesia
"CIPUTRA MITRA HOSPITAL - INDONESIA - STEVEN,",CIPUTRA MITRA HOSPITAL,Indonesia
RS. JIH (PURWOKERTO) - INDONESIA - ACHMAD DR,JOGJA INTERNATIONAL HOSPITAL PURWOKERTO,Indonesia
"RS. GRHA KEDOYA - INDONESIA - IVAN,SPKFR",RS GRHA KEDOYA,Indonesia
RS. EMC CIKARANG - INDONESIA - DR I MADE SPO,RS EMC CIKARANG,Indonesia
MAYAPADA HOSPITAL TANGERANG - INDONESIA - KA,MAYAPADA HOSPITAL TANGERANG,Indonesia
RS. KHUSUS MATA RAMATA - INDONESIA - DR,RS KHUSUS MATA RAMATA,Indonesia
Island Hospital - INDONESIA - ASSOSC PROF DR,ISLAND HOSPITAL MALAYSIA,Malaysia
Sunway Medical Centre - INDONESIA - DR LIM B,SUNWAY MEDICAL CENTRE SDN BHD MALAYSIA,Malaysia
RS. PMI BOGOR - INDONESIA - DR,RS PMI BOGOR,Indonesia
RS. PREMIER SURABAYA - INDONESIA - DR SUYANT,RS PREMIER SURABAYA,Indonesia
RS. MITRA KELUARGA CIBUBUR - INDONESIA -,MITRA KELUARGA CIBUBUR,Indonesia
MAYAPADA HOSPITAL BANDUNG - INDONESIA - STEP,MAYAPADA HOSPITAL BANDUNG,Indonesia
RS. PONDOK INDAH - INDONESIA - DR IRIS SPPD,RS PONDOK INDAH,Indonesia
RS. PONDOK INDAH - INDONESIA - DR ZAINAL SPT,RS PONDOK INDAH,Indonesia
RS. PRIMAYA BEKASI BARAT - INDONESIA - DR M,PRIMAYA HOSPITAL BEKASI BARAT,Indonesia
RS. SAMARITAN PALU - INDONESIA - DR ANDI SPP,RS SAMARITAN,Indonesia
PRIMAYA HOSPITAL TANGERANG - INDONESIA - FT,PRIMAYA HOSPITAL TANGERANG,Indonesia
"RS. PERTAMINA CIREBON - INDONESIA - MENIK,SP",RS PERTAMINA CIREBON,Indonesia
"EKA HOSPITAL BSD - INDONESIA - DR MICHEAL, S",EKA HOSPITAL BSD,Indonesia
RSU. PARAMASIDHI - INDONESIA - DR PUTU SPB,RSU PARAMA SIDHI SINGARAJA BALI,Singapore
CIPUTRA HOSPITAL - INDONESIA - DR HENDRI SP,CIPUTRA HOSPITAL,Indonesia
RS. URIP SUMOHARJO - INDONESIA - DR IQBAL SP,RS URIP SUMOHARJO,Indonesia
RS. DARMO - INDONESIA - DR APULUS,RS DARMO,Indonesia
RSU. MELINDA 2 - INDONESIA - DR SINDI SP A,RSU MELINDA 2,Indonesia
RS. BUMI WARAS - INDONESIA - DR ALDILLA SP A,RS BUMI WARAS,Indonesia
RS. MANUABA - INDONESIA - DR,RSU MANUABA,Indonesia
"RSU. MELINDA 2 - INDONESIA - DESSY,SPS",RSU MELINDA 2,Indonesia
RS. DELTA SURYA - INDONESIA - DR RAMON SP N,RS DELTA SURYA,Indonesia
PARKWAY CANCER CENTRE - INDONESIA - Dr. Zee,PARKWAY CANCER CENTRE SINGAPORE,Singapore
Onco Care Cancer Centre - INDONESIA - dr. ke,ONCOCARE CANCER CENTRE SINGAPORE,Singapore
BETHSAIDA HOSPITAL - INDONESIA - RD HERWINDO,BETHSAIDA HOSPITAL,Indonesia
RS. GATOEL MOJOKERTO - INDONESIA - dr fanisi,RS GATOEL MOJOKERTO,Indonesia
RS. MITRA MEDIKA PONTIANAK - INDONESIA - NUR,RS MITRA MEDIKA PONTIANAK,Indonesia
RS. PREMIER SURABAYA - INDONESIA - DR HANS,RS PREMIER SURABAYA,Indonesia
RSIA. PURI GARCIA - INDONESIA - DR YULIA SP,RS PURI GARCIA SERANG,Indonesia
"EKA HOSPITAL BSD - INDONESIA - MICHAEL, SpB",EKA HOSPITAL BSD,Indonesia
RS. CITRA HARAPAN - INDONESIA - DR JANAKA SP,RS CITRA HARAPAN,Indonesia
"RS. COLUMBIA ASIA MEDAN - INDONESIA - LUBIS,",COLUMBIA ASIA MEDAN,Indonesia
RS. COLUMBIA ASIA MEDAN - INDONESIA - PETRUS,COLUMBIA ASIA MEDAN,Indonesia
RS. ATMA JAYA - INDONESIA - DR MARCHELA SPPD,RS ATMA JAYA,Indonesia
RSU. ESHMUN - INDONESIA - dr ariantho sppd,RS ESHMUN,Indonesia
RS. JIH (JOGJA) - INDONESIA - DR MEIKI SPOT,JOGJA INTERNATIONAL HOSPITAL,Indonesia
RSIA. CATHERINE BOOTH - INDONESIA - DR STELL,RSIA CARTHERINE BOOTH,Indonesia
RS. MULIA PAJAJARAN - INDONESIA - DR CHRISTI,RS MULIA PAJAJARAN,Indonesia
"RS. GRHA KEDOYA - INDONESIA - EDDY,SPA",RS GRHA KEDOYA,Indonesia
RSU. BUNDA JAKARTA - INDONESIA - DR JESICA,RS BUNDA JAKARTA,Indonesia
RS. DELTA SURYA - INDONESIA - DR,RS DELTA SURYA,Indonesia
RS. EMC PULOMAS - INDONESIA - DR TIRTA,RS EMC PULOMAS,Indonesia
"RS. ST.CAROLUS - INDONESIA - DR EDI, SPPD",RS ST CAROLUS,Indonesia
RS. EMC ALAM SUTERA - INDONESIA - DR EKO SP,RS EMC ALAM SUTERA,Indonesia
RS. SURYA HUSADHA - INDONESIA - DR PRIMI SPA,RS SURYA HUSADA,Indonesia
RS. HELSA JATIRAHAYU - INDONESIA - DR GATOT,RS HELSA JATI RAHAYU,Indonesia
Mount Elizabeth Orchard - INDONESIA - DR WON,MOUNT ELIZABETH ORCHARD,Singapore
RS. EMC PEKAYON - INDONESIA - DR INDRIASTARI,RS EMC PEKAYON,Indonesia
NATIONAL HOSPITAL SURABAYA - INDONESIA - DFR,NATIONAL HOSPITAL SURABAYA,Indonesia
SILOAM HOSPITALS SIMATUPANG - INDONESIA - EV,SILOAM HOSPITAL TB SIMATUPANG,Indonesia
RS. PANTAI INDAH KAPUK - INDONESIA - DR LISO,RS PANTAI INDAH KAPUK,Indonesia
RS. PREMIER SURABAYA - INDONESIA - DR PRAYUD,RS PREMIER SURABAYA,Indonesia
RS. MITRA KELUARGA WARU - INDONESIA - DR. YU,MITRA KELUARGA WARU,Indonesia
RSU. HARAPAN BERSAMA - INDONESIA - DR TERESI,RS HARAPAN BERSAMA,Indonesia
RS. EMC PEKAYON - INDONESIA - DR AJENG,RS EMC PEKAYON,Indonesia
"RS. PREMIER SURABAYA - INDONESIA - DR VICKY,",RS PREMIER SURABAYA,Indonesia
PERSADA HOSPITAL - INDONESIA - PROF. DR. DR.,PERSADA HOSPITAL,Indonesia
RS. MITRA KELUARGA SLAWI - INDONESIA - TRIAN,MITRA KELUARGA SLAWI,Indonesia
RS. BINA HUSADA CIBINONG - INDONESIA - DR AG,RS BINA HUSADA,Indonesia
RS. TELOGOREJO - INDONESIA - dr Yetty Moviet,RS TELOGOREJO,Indonesia
RS. PRIMAYA BEKASI BARAT - INDONESIA - DR VI,PRIMAYA HOSPITAL BEKASI BARAT,Indonesia
RS. PANTAI INDAH KAPUK - INDONESIA - DR ELVI,RS PANTAI INDAH KAPUK,Indonesia
RS. AWAL BROS PEKANBARU - INDONESIA - DR ASM,RS AWAL BROS PEKANBARU,Indonesia
"RS. PREMIER SURABAYA - INDONESIA - DR LITA,",RS PREMIER SURABAYA,Indonesia
RS. PRIMAYA MAKASSAR - INDONESIA - DR DARWIN,PRIMAYA HOSPITAL MAKASSAR,Indonesia
RS. PONDOK INDAH - INDONESIA - DRAINAL,RS PONDOK INDAH,Indonesia
PERSADA HOSPITAL - INDONESIA - DR. NUGROHO D,PERSADA HOSPITAL,Indonesia
RS. SANTO BORROMEUS BANDUNG - INDONESIA - RI,RS ST BORROMEUS,Indonesia
SILOAM HOSPITALS JAMBI - INDONESIA - DR,SILOAM HOSPITAL JAMBI,Indonesia
RS. AWAL BROS PEKANBARU - INDONESIA - DR HAN,RS AWAL BROS PEKANBARU,Indonesia
RS. TELOGOREJO - INDONESIA - DR BARISH BUDIO,RS TELOGOREJO,Indonesia
RS. MITRA KELUARGA SURABAYA - INDONESIA - VI,MITRA KELUARGA SURABAYA,Indonesia
"RS. HERMINA MEKARSARI - INDONESIA - CAMELIA,",RS HERMINA MEKARSARI,Indonesia
RS. BALIMED - INDONESIA - DR TRI YULIANTI SP,RS BALIMED,Indonesia
RS. HERMINA KENDARI - INDONESIA - DR MADE AR,RS HERMINA KENDARI,Indonesia
RS. HERMINA DEPOK - INDONESIA - DR YANI KURN,RS HERMINA DEPOK,Indonesia
MAYAPADA HOSPITAL SURABAYA - INDONESIA - DR.,MAYAPADA HOSPITAL SURABAYA,Indonesia
"RSU. HARAPAN BERSAMA - INDONESIA - ALICE, Sp",RS HARAPAN BERSAMA,Indonesia
RS. HERMINA GRAND WISATA - INDONESIA - dr. F,RS HERMINA GRAND WISATA,Indonesia
RS. EMC PEKAYON - INDONESIA - DR RADEN,RS EMC PEKAYON,Indonesia
RS. UBAYA - INDONESIA - DR RIZKA AMALIA SPJP,RS UBAYA,Indonesia
RS. PONDOK INDAH PURI INDAH - INDONESIA - RD,RS PONDOK INDAH PURI INDAH,Indonesia
"RS. ONKOLOGI - INDONESIA - dr. S.UGROSENO,Sp",RS ONKOLOGI,Indonesia
RS. ROYAL PRIMA MEDAN - INDONESIA - HJ SRI Y,RS ROYAL PRIMA MEDAN,Indonesia
"RS. MEDISTRA - INDONESIA - GUNAWAN, DR. Sp.P",RS MEDISTRA,Indonesia
RSUP PERSAHABATAN - INDONESIA - ERLINASPP,RSUP PERSAHABATAN,Indonesia
RS. RK. CHARITAS - INDONESIA - WILIAM SPA,RS RK CHARITAS,Indonesia
TZU CHI HOSPITAL - INDONESIA - DR DASMAN SP,TZU CHI HOSPITAL,Indonesia
TZU CHI HOSPITAL - INDONESIA - DR SATYANEGAR,TZU CHI HOSPITAL,Indonesia
SILOAM HOSPITALS MAKASSAR - INDONESIA - MARI,SILOAM HOSPITAL MAKASSAR,Indonesia
"RSIA. PURI MALANG - INDONESIA - RATNA,SPKGA",RSIA PURI MALANG,Indonesia
RS. ISLAM PURWOREJO - INDONESIA - DR TRY SP,RS ISLAM PURWOREJO,Indonesia
RS. ISLAM PURWOREJO - INDONESIA - DR TRI SP,RS ISLAM PURWOREJO,Indonesia
RS. EMC TANGERANG - INDONESIA - DRROBBY SPPD,RS EMC TANGERANG,Indonesia
RS. PANTI NIRMALA - INDONESIA - DRYUYUN SPRA,RS PANTI NIRMALA,Indonesia
RS. TELOGOREJO - INDONESIA - dr Patricia Saf,RS TELOGOREJO,Indonesia
RS. AWAL BROS PEKANBARU - INDONESIA - HENDRA,RS AWAL BROS PEKANBARU,Indonesia
SILOAM HOSPITALS MAKASSAR - INDONESIA - MAMA,SILOAM HOSPITAL MAKASSAR,Indonesia
PRIMAYA HOSPITAL SEMARANG - INDONESIA - DR H,PRIMAYA HOSPITAL SEMARANG,Indonesia
RS. PANTI NIRMALA - INDONESIA -,RS PANTI NIRMALA,Indonesia
NATIONAL HOSPITAL SURABAYA - INDONESIA - MIF,NATIONAL HOSPITAL SURABAYA,Indonesia
SILOAM HOSPITALS MATARAM - INDONESIA - DR RU,SILOAM HOSPITAL MATARAM,Indonesia
RS. KHUSUS MATA NUSANTARA - INDONESIA - WIDO,RS KHUSUS MATA NUSANTARA,Indonesia
MAYAPADA HOSPITAL SURABAYA - INDONESIA - VAN,MAYAPADA HOSPITAL SURABAYA,Indonesia
"TZU CHI HOSPITAL - INDONESIA - CONNY,SpA",TZU CHI HOSPITAL,Indonesia
TZU CHI HOSPITAL - INDONESIA - DEVI.FTR,TZU CHI HOSPITAL,Indonesia
TZU CHI HOSPITAL - INDONESIA - DEVY.FTR,TZU CHI HOSPITAL,Indonesia
TZU CHI HOSPITAL - INDONESIA - FRANSISKA,TZU CHI HOSPITAL,Indonesia
RS. JIH (JOGJA) - INDONESIA - DR P YURI SP U,JOGJA INTERNATIONAL HOSPITAL,Indonesia
"TZU CHI HOSPITAL - INDONESIA - MARTA,AMD,FT",TZU CHI HOSPITAL,Indonesia
"RSIA. PURI MALANG - INDONESIA - LOUISA,SPA",RSIA PURI MALANG,Indonesia
"TZU CHI HOSPITAL - INDONESIA - DEVYA,FTR",TZU CHI HOSPITAL,Indonesia
TZU CHI HOSPITAL - INDONESIA - dr hendra sp,TZU CHI HOSPITAL,Indonesia
TZU CHI HOSPITAL - INDONESIA - AGIS.FTR,TZU CHI HOSPITAL,Indonesia
"TZU CHI HOSPITAL - INDONESIA - DASMAN,SpA",TZU CHI HOSPITAL,Indonesia
"TZU CHI HOSPITAL - INDONESIA - HENRI,SpBM",TZU CHI HOSPITAL,Indonesia
BETHSAIDA HOSPITAL - INDONESIA - ALBERT SPOT,BETHSAIDA HOSPITAL,Indonesia
"TZU CHI HOSPITAL - INDONESIA - ITA,SpKFR",TZU CHI HOSPITAL,Indonesia
TZU CHI HOSPITAL - INDONESIA - KURNIA.FTR,TZU CHI HOSPITAL,Indonesia
"RS. EMC PEKAYON - INDONESIA - AJENG,SPA",RS EMC PEKAYON,Indonesia
"TZU CHI HOSPITAL - INDONESIA - HEPY,SpKFR",TZU CHI HOSPITAL,Indonesia
"RSIA. GRAND FAMILY - INDONESIA - SUSIANA,SPA",RS GRAND FAMILY,Indonesia
TZU CHI HOSPITAL - INDONESIA - MARTA.FTR,TZU CHI HOSPITAL,Indonesia
RSIA. LIMIJATI - INDONESIA - DR CHRISTINE SP,RS LIMIJATI,Indonesia
RS. BALI JIMBARAN - INDONESIA - DR PRISKA SP,RS BALI JIMBARAN,Indonesia
"TZU CHI HOSPITAL - INDONESIA - SATYA,SpBS",TZU CHI HOSPITAL,Indonesia
TZU CHI HOSPITAL - INDONESIA - VICKY,TZU CHI HOSPITAL,Indonesia
RS. ABDI WALUYO - INDONESIA - dr teguh sps,RS ABDI WALUYO,Indonesia
"RSIA. PURI BUNDA - INDONESIA - HENDRA,SPA",RSIA PURI BUNDA,Indonesia
RS. GRHA KEDOYA - INDONESIA - DR CHYNTIA SP,RS GRHA KEDOYA,Indonesia
RS. HUSADA - INDONESIA - DR MARQUEE SPOT,RS HUSADA,Indonesia
RS. GRHA KEDOYA - INDONESIA - DR EDDY SP A,RS GRHA KEDOYA,Indonesia
RS. GRHA KEDOYA - INDONESIA - DR SUPIT SP M,RS GRHA KEDOYA,Indonesia
RSIA. MELINDA - INDONESIA - DR ROY,RS MELINDA,Indonesia
RS. HERMINA PEKANBARU - INDONESIA -,RS HERMINA PEKANBARU,Indonesia
RS. PREMIER JATINEGARA - INDONESIA - DR KASU,RS PREMIER JATINEGARA,Indonesia
RS. PREMIER BINTARO - INDONESIA - DR SITI SP,RS PREMIER BINTARO,Indonesia
"RS. PURI CINERE - INDONESIA - PURWANTO,SPA",RS PURI CINERE,Indonesia
RS. MITRA KELUARGA CIBUBUR - INDONESIA - SND,MITRA KELUARGA CIBUBUR,Indonesia
RS. EMC SENTUL - INDONESIA - DR YAMIN SPPD,RS EMC SENTUL,Indonesia
RS. ST.CAROLUS - INDONESIA - DR MARIA SP A,RS ST CAROLUS,Indonesia
"RS. MITRA PLUMBON - INDONESIA - ADRIAN,SPA",RS MITRA PLUMBON,Indonesia
RS. HERMINA GRAND WISATA - INDONESIA - DR SI,RS HERMINA GRAND WISATA,Indonesia
"RS. BUDI MEDIKA - INDONESIA - KRISTIN,SPA",RS BUDI MEDIKA,Indonesia
"RS. BUDI MEDIKA - INDONESIA - AGUNG,SPPD",RS BUDI MEDIKA,Indonesia
RS. PERMATA CIBUBUR - INDONESIA - DR ADRIZAL,RS PERMATA CIBUBUR,Indonesia
RS. HERMINA GRAND WISATA - INDONESIA - DR NI,RS HERMINA GRAND WISATA,Indonesia
RSIA. BINA MEDIKA BINTARO - INDONESIA -,RSIA BINA MEDIKA BINTARO,Indonesia
"RS. BRAWIJAYA SAHARJO - INDONESIA - RIFAN,SP",BRAWIJAYA HOSPITAL SAHARJO,Indonesia
RS. BUNDA PENGHARAPAN - INDONESIA - DR ANDRI,RS BUNDA PENGHARAPAN,Indonesia
RS. INTAN HUSADA GARUT - INDONESIA - DR DANN,RS INTAN HUSADA,Indonesia
